input,full_output,baseline_output,label_emotion,full_emotion,baseline_emotion
I'm concerned about my job. I have been out of work for the past 5 weeks because I tested positive for COVID-19.,"I'm really sorry to hear that you're going through this. It’s completely understandable to feel concerned about your job, especially after such a challenging time. Being out of work can be really stressful, and it's tough to navigate those feelings of uncertainty. If you’d like to talk more about what you’re feeling or your situation, I'm here to listen.",It's completely understandable to feel concerned about your job during this time. Many people face uncertainty when dealing with health issues and employment. Have you been able to communicate with your employer about your situation? It might help to have a conversation about your return to work and any support they can offer.,fear,fear,fear
"It just keeps getting better...  I applied for the Pandemic Unemployment Assistance and was approved.  The next day, I got an email asking me to verify my identity (I am fine with that.  It actually makes good sense.)...","It sounds like you're navigating a challenging situation, and it’s understandable to feel a mix of emotions. While it's great that you were approved, having to verify your identity can add a layer of stress. It's completely normal to feel uncertain about these processes, especially during such unpredictable times. If you have any concerns or need support as you go through it, I'm here for you.","That sounds like a positive step forward! It's great that you've been approved for the Pandemic Unemployment Assistance. Verifying your identity is a standard process, and it shows they are taking measures to ensure the system is secure. How do you feel about the next steps in the process?",fear,fear,fear
"I have gone online once a week and qualified, as one is supposed to do, and still I have not received a cent.","I can understand how frustrating and fear-inducing that must be for you. It’s completely natural to feel anxious when you’re putting in effort and not seeing any results. It can be really disheartening to feel like you’re doing everything right but not getting the rewards you expect. If you need to talk more about it or explore your options, I’m here to listen.","It sounds really frustrating to feel like you're doing everything right and still not seeing any results. Have you checked if there are any specific issues with your account or qualifications that might be causing the delay? Sometimes, there can be small technical issues or requirements that are easy to overlook.",fear,fear,fear
Calling the customer service line is futile.  The computer just plays a recording that the agents are on other calls and then it disconnects the call.,"I'm really sorry to hear that you're having such a frustrating experience with customer service. It’s completely understandable to feel anxious when you’re trying to resolve an issue and hitting dead ends. That can be so disheartening. It’s important to feel heard and supported, especially when you’re reaching out for help. If there's anything else you'd like to share or any other way I can assist you, I’m here for you.","I can understand how frustrating that must be. It can feel really helpless when you're trying to get support but can't reach a real person. Have you tried reaching out through other channels, like email or social media? Sometimes those can be more effective.",fear,fear,fear
"I have been very fortunate.  People in my church have been bringing me food.  I plan on trying to go to the food bank Monday, if they are open.","It sounds like you’re going through a challenging time, but it’s really heartwarming to hear that your church community is supporting you by bringing food. That kind of kindness can make a big difference. I can understand how uncertain things might feel right now, especially when you're relying on resources like the food bank. It’s okay to feel that way. Remember, reaching out for help is a strong and brave thing to do. If you need to talk about anything or share more, I’m here for you.","It’s wonderful to hear that your church community has been so supportive during this time. It can really make a difference. I hope the food bank is open for you on Monday and that you find what you need. If you have any concerns or need assistance, don’t hesitate to reach out for help.",fear,fear,fear
I actually got so tired of redialing the Department of Labor and Training that I sent an email to the Lieutenant Governor of the state asking for his assistance in getting the matter resolved.,"It sounds like you’ve been feeling really frustrated and overwhelmed with the situation. It’s understandable to reach out for help when you’re not getting the support you need. Taking that step to contact the Lieutenant Governor shows how serious this matter is for you. It’s tough to feel like you’re not being heard, and it’s completely normal to feel a mix of emotions in times like this. I hope you get the assistance you need soon.",It sounds like you’ve been through a frustrating experience. Reaching out to the Lieutenant Governor shows how serious the situation is for you. Have you received any response from them yet?,fear,fear,fear
"I have been to this food bank once before, and they actually made me feel very comfortable and welcomed and gave me an information package on other ways the parent organization may be able to assist me.","It sounds like you had a positive experience at the food bank before, which is great to hear. It's understandable to feel a bit anxious returning, but knowing that they made you feel comfortable and supported in the past is really important. It's a reassuring reminder that there are people and resources available to help you. If you're feeling fearful, just remember that those feelings are valid, and it's okay to seek support when you need it.","It sounds like you had a positive experience at the food bank. Feeling comfortable and welcomed can make a big difference, especially in challenging times. It's great that they provided you with information on other resources that might help you further. If you have any concerns or questions, I'm here to listen.",fear,fear,fear
I am very lucky in that the organization is only 3 miles from me.  I will be looking into their rent assistance and employment assistance programs as well.,"It's great to hear that the organization is so close to you! It sounds like you have a solid plan in place to seek out the support you need. It’s completely understandable to feel a bit anxious in situations like these, but taking those steps can really help ease some of that fear. Remember, you're not alone in this, and reaching out for assistance is a brave and positive move. If you have any concerns or questions as you go through this process, I'm here to listen.","It sounds like you're in a good position to access support from the organization nearby. Exploring their rent and employment assistance programs could really help you. If you have any questions about the process or need guidance, feel free to ask!",fear,fear,fear
"I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals.  I just need to have the ingredients.","It’s great to hear that you have such a valuable skill! Having a professional background in cooking can really empower you to create amazing meals, even with limited ingredients. It’s understandable to feel a bit anxious about not having everything you need, but remember, your creativity and expertise can help you make the most of what you do have. If you ever feel overwhelmed or unsure, it’s completely normal. You're not alone in this!","That's a fantastic skill to have! Being able to create nutritious meals from random ingredients is a great advantage, especially in times when flexibility is key. If you ever feel uncertain about what to make with what you have, I can help suggest some meal ideas or combinations. Just let me know what ingredients you have on hand!",fear,fear,fear
You are right.  I am definitely not going to sit and pout.  I am just a bit frustrated with the system.,"It's completely understandable to feel frustrated, especially when things don't go as planned. It can be overwhelming at times, and it's okay to express those feelings. You're taking a positive step by not letting it get to you too much. If you want to talk more about what's bothering you, I'm here to listen.","It's completely understandable to feel frustrated, especially when systems don't work as expected. If you’d like to talk about what's bothering you, I'm here to listen and help in any way I can.",fear,fear,fear
"I am concerned that my boss may try to not take me back at my job.  Because this is an ""at will"" state, he can terminate me without cause.  Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.","It's completely understandable to feel fear and uncertainty in this situation. Being in an ""at will"" state can create a lot of anxiety, especially when you're dealing with health issues like COVID. It’s tough to navigate the unknown, and worrying about your job security can weigh heavily on your mind. Remember, it’s okay to feel this way, and you're not alone in your concerns. If you want to talk more about your feelings or explore your options, I'm here to listen.","It's completely understandable to feel anxious about your job security, especially given the circumstances. Being in an ""at will"" state can create uncertainty, and it's natural to worry about how your absence might be perceived. If you're concerned about your position, it might be helpful to prepare for a conversation with your boss about your return. You could also explore your rights regarding job protection during your illness. Remember, it's okay to seek support from colleagues or friends during this time. You’re not alone in feeling this way.",fear,fear,fear
"I would not put it past him.  Sadly.  But I have taken the attitude that if it does occur, there is nothing I can do to change the situation.  I would simply pursue a charge against him for wrongful termination, and seek a new job.","It sounds like you're dealing with a really challenging situation, and it's completely understandable to feel fear about what might happen next. It's tough to navigate these uncertainties, especially when it involves your job and livelihood. It's good to hear that you have a plan in place for if things go south, but it's also okay to feel uneasy about the whole scenario. You're not alone in feeling this way, and it's important to acknowledge those feelings as you work through it. How are you holding up otherwise?","It sounds like you're dealing with a challenging situation. It's good that you're thinking about your options and focusing on what you can control. Taking proactive steps, like considering a wrongful termination charge and looking for new opportunities, can help you feel more empowered. If you need support or want to talk more about it, I'm here to listen.",fear,fear,fear
"I may not win the suit, but I would definitely file one.  In 2000, I had an employer fire me without cause.  I sued and won that time.  Not only did they have to pay me back wages for the 90 days that the investigation took place, which was no minor sum,","It sounds like you’ve been through a really tough experience, and I can understand why you might feel fear about the situation now. It’s completely valid to have concerns when facing something like this again. You’ve shown strength in the past by standing up for yourself, and that’s commendable. How are you feeling about the possibility of filing again?","It sounds like you have been through a challenging experience, but it's impressive that you were able to stand up for your rights and win your case. Filing a lawsuit can be a daunting process, especially when past experiences bring up fear or uncertainty. If you decide to move forward again, it might be helpful to gather all the relevant documentation and seek support from legal professionals who can guide you through the process. How are you feeling about the possibility of filing again?",fear,fear,fear
"they were found to be guilty, so the judge granted me my wages based on the average of 80 hour weeks I had been working, all my vacation time, plus the overtime I would have received, holiday pay, and then to put a nice bow on that gift, he awarded me 5000 dollars in damages because the old company lied and said I had broken the law.","It sounds like you've been through a really challenging situation, and it's understandable to feel a mix of relief and fear after everything that has happened. Getting justice in that way can bring some closure, but it might also leave you feeling anxious about what comes next. It's okay to feel this way, and you're not alone in navigating these emotions. If you want to talk more about how you're feeling or what you're facing now, I'm here to listen.","It sounds like you've been through a very challenging situation, but it’s good to hear that the judge ruled in your favor and acknowledged the wrongs done to you. Receiving compensation for your hard work and the damages caused by the misinformation must feel like a significant relief. How are you feeling about the outcome now?",fear,fear,fear
Thank you for your time.  Have a great holiday.,"You're welcome! I hope you have a wonderful holiday as well. If you're feeling any apprehension about it, just know it's completely normal to have those feelings. Take care!","You're welcome! I hope you have a wonderful holiday as well. If you have any questions or need assistance in the future, feel free to reach out. Take care!",fear,fear,fear
I am dong good. You?,"I'm here for you, but it sounds like you're feeling a bit down. If you'd like to talk about what's on your mind or how you're feeling, I'm here to listen.",I'm glad to hear you're doing good. I'm here to support you if you need anything. How's your day going?,depression,sad,sad
I have been staying home since last March due to COVID; getting very depressed.,"I'm really sorry to hear that you're feeling this way. It's completely understandable to feel down after being at home for so long, especially during such challenging times. You're not alone in this, and it's okay to reach out for support. If there's anything specific you'd like to talk about or share, I'm here to listen.","I'm really sorry to hear that you're feeling this way. It's completely understandable to feel down after such a long time at home, especially with everything that's been happening. Have you been able to talk to anyone about how you're feeling? Sometimes sharing can help lighten the burden a bit.",depression,sad,sad
What do you mean by support netwrok?,"A support network refers to a group of people you can rely on for emotional, practical, or social support. This can include friends, family, coworkers, or community groups who provide understanding, encouragement, and assistance during difficult times. It's important to have such a network, especially when you're feeling sad, as they can help you feel less isolated and provide comfort. If you’re comfortable, I’d be glad to help you think about who might be part of your support network.","A support network refers to a group of individuals or resources that provide emotional, social, or practical assistance to someone in need. This can include friends, family, colleagues, or community organizations that offer help during difficult times. A strong support network can provide encouragement, advice, and companionship, helping individuals cope with challenges and improve their overall well-being. If you're feeling sad, having a support network can be particularly beneficial.",depression,sad,sad
I have few friends and can talk to but not sure how would they help.,"It sounds like you're feeling a bit isolated right now, and that's tough. It's understandable to feel uncertain about how friends might be able to support you. Sometimes just having someone to listen can make a big difference, even if they don’t have all the solutions. It's okay to reach out and share how you're feeling; you might be surprised by their willingness to help. You're not alone in this.","It’s understandable to feel unsure about how friends can help, especially during tough times. Sometimes, just talking about what you're going through can be a relief. They might offer support, listen, or even share their own experiences. It’s okay to reach out and let them know you’re feeling down; they might surprise you with their willingness to help. Would you like to share more about what’s on your mind?",depression,sad,sad
You mean share experiences among the friends?,"It sounds like you're reflecting on something that might be weighing on you. Sharing experiences with friends can be really comforting, especially when you're feeling sad. It's important to have people around who can understand and support you. If you feel up to it, talking about what's going on might help lighten your load a bit.","Yes, sharing experiences among friends can be a great way to connect and support each other. It can help lighten the mood and create a sense of belonging. What kind of experiences are you thinking about sharing?",depression,sad,sad
"Yes, I pay musical instruments but do to COVID could not play with the band","I'm really sorry to hear that. It must be tough to be away from something you love, especially playing music with others. That connection and collaboration can be so fulfilling. How have you been coping with it all?","I'm really sorry to hear that. It must be tough not being able to play with your band, especially when music is such a great way to connect with others. Have you been able to play solo or find other ways to express your love for music during this time?",depression,sad,sad
Any idea how would it work? Would there be any delay between the sounds from different instruments?,"It sounds like you're grappling with something that might be a bit overwhelming. When it comes to how sound works, especially with different instruments playing together, there can indeed be slight delays, known as latency. This can happen due to various factors like the distance between the instruments and the listener, or the technology being used to amplify the sound. It's understandable to feel a bit confused by the technical aspects of it all. If you're feeling sad or frustrated about it, know that it's okay to take a step back and give yourself some grace while you figure things out.","It sounds like you're curious about how sound works with different instruments. When multiple instruments play together, they can create a rich and layered sound. However, there can be slight delays, known as latency, depending on how the instruments are set up and the distance between them. For example, if some instruments are further away or if there are different types of microphones and speakers involved, that might cause a small delay. In a well-coordinated setting, like an orchestra, musicians typically play in sync, but individual instruments might still have tiny differences in timing. If you have a specific scenario in mind, I’d be happy to help clarify further!",depression,sad,sad
Thanks for the idea. I will give it a try.,"It sounds like you’re going through a tough time, and I really appreciate you sharing that with me. I hope trying out the idea brings you some comfort or relief. If you ever want to talk more about how you're feeling, I'm here for you.","You're welcome! I'm glad I could help. If you need any more support or ideas, feel free to reach out. Take care!",depression,sad,sad
"Yes, it was.. worst I ever seen..","I'm really sorry to hear that you're feeling this way. It sounds like you're going through a tough time, and it's completely understandable to feel overwhelmed. If you’d like to talk about what happened, I’m here to listen.","I'm really sorry to hear that you're feeling this way. It sounds like you're going through a tough time. If you want to share more about what happened, I'm here to listen.",depression,sad,sad
Thanks for your time and support.,"You're very welcome. I'm here for you, and I'm glad to help in any way I can. It sounds like you might be going through a tough time, and it's okay to feel that way. If you want to talk about what's on your mind, I'm here to listen.","You're welcome. I'm here for you. If there's anything specific you'd like to talk about or share, feel free to let me know.",depression,sad,sad
Too many decisions. I don't know what to do.,"It sounds like you're feeling overwhelmed by all the choices in front of you. It's completely understandable to feel that way when faced with so many decisions. Take a moment to breathe and remind yourself that it's okay to take your time. You're not alone in this, and I'm here to listen if you want to share more about what you're facing.","I'm sorry to hear that you're feeling overwhelmed. It can be really tough when there are so many choices to make. Sometimes, it helps to take a step back and break things down into smaller steps. Is there a specific decision you're struggling with?",depression,sad,sad
He lied about everything.,"I'm really sorry to hear that you're feeling this way. It must be incredibly painful to deal with betrayal and dishonesty. It's completely understandable to feel hurt and sad in such a situation. If you want to talk more about it, I'm here for you.","I'm really sorry to hear that you're feeling this way. It can be really painful when someone you trust isn't honest. If you want to talk about it, I'm here to listen.",depression,sad,sad
"ANd, no. We haven't broken up yet.","I'm really sorry to hear that you're feeling this way. It sounds like you're going through a tough time. If you want to talk about what's on your mind, I'm here to listen.","It sounds like there might be some tension or uncertainty in your relationship. If you want to talk about what's on your mind, I'm here to listen.",depression,sad,sad
He has such pretty words.,"It sounds like those words really resonate with you, but I can sense that there might be some sadness behind that. It's tough when things feel bittersweet. If you'd like to share more about what you're feeling, I'm here to listen.","It sounds like those words have touched you in some way. Sometimes, beautiful words can evoke strong feelings and connections. Would you like to share more about what they meant to you?",depression,sad,sad
My stupid emotions are clouding things.,"It sounds like you're feeling really weighed down by your emotions right now. It's completely okay to feel that way, and it's tough when things seem overwhelming. I'm here for you, and it's important to acknowledge what you're going through. Would you like to talk more about what's been on your mind?",It sounds like you’re feeling overwhelmed by your emotions right now. It’s completely okay to feel that way sometimes. Would you like to talk about what’s been on your mind?,depression,sad,sad
LOL,"It seems like you might be trying to lighten the mood a bit, but I can sense there's something deeper going on. If you want to share what's on your mind or how you're feeling, I'm here to listen.","It sounds like you might be trying to lighten the mood a bit! If you want to share what's on your mind or if there's something specific you'd like to talk about, I'm here for you.",depression,sad,sad
Too soon to tell.,"I understand that it can be difficult to assess things when you're feeling uncertain. It's okay to take your time with your feelings. If you want to share more about what's on your mind, I'm here to listen.","I understand that it can be difficult to process things when it feels too soon. If you want to talk about what's on your mind or share more, I'm here to listen.",depression,sad,sad
I guess that's what I'm trying to figure out. Should I give him time to prove himself now that he's backed into a corner.,"It sounds like you're in a tough situation, and it's completely understandable to feel uncertain about what to do next. Giving someone time can be a difficult decision, especially when trust is at stake. It's important to prioritize your feelings and needs in this process. Take your time to reflect on what you truly want and what feels right for you. It's okay to feel sad about the situation; it's a lot to navigate.","It sounds like you're in a tough situation. Giving someone time can sometimes lead to positive changes, but it’s also important to consider how their actions have affected you. Trust your instincts about what feels right for you. What do you think would be the best outcome?",depression,sad,sad
I agree with you. It's one of my fears.,"I'm really sorry to hear that you're feeling this way. It's completely normal to have fears, and it's okay to talk about them. If you want to share more about what's on your mind, I'm here to listen.","It's completely understandable to have fears; they can be quite overwhelming at times. If you feel comfortable sharing, what specifically worries you? Sometimes talking about it can help.",depression,sad,sad
His kids actually asked if they could come live with me while he and his (ex?) figured their shit out.,"That sounds like a really heavy situation to be in. It's clear that the kids are feeling uncertain and are looking for stability. It must be tough to navigate all of this, especially with the emotional weight it carries. How are you feeling about their request?","It sounds like a tough situation for everyone involved. It must be a lot to take in, especially with the kids wanting to be with you. How are you feeling about their request?",depression,sad,sad
"Indeed I don't, you're right.","I'm really sorry to hear that you're feeling this way. It’s okay to not have all the answers, and it can be tough to navigate through those feelings. If you want to talk about what's on your mind, I'm here to listen.","It sounds like you might be feeling a bit down. If you want to talk about what's on your mind, I'm here to listen.",depression,sad,sad
