input,reference,prediction,bleu,rouge1,rouge2,rougeL,distinct1,distinct2,latency_sec
merry christmas to you also,How can I help you today?,I understand. Can you tell me more about how you feel?,0.022416933501922302,0.4705882352941177,0.0,0.23529411764705885,0.9090909090909091,0.9090909090909091,0.0
im having some issues with friends not actually being friends,I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right?,I understand. Can you tell me more about how you feel?,0.009126505847175293,0.1764705882352941,0.0,0.1764705882352941,0.9090909090909091,0.9090909090909091,0.0
yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,Is this a significant other?,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
no friends,Are they ignoring you?,I understand. Can you tell me more about how you feel?,0.0,0.13333333333333333,0.0,0.13333333333333333,0.9090909090909091,0.9090909090909091,0.0
when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,Are you sure they are okay? Or not away with family for the holidays?,I understand. Can you tell me more about how you feel?,0.014350755161376995,0.08,0.0,0.08,0.9090909090909091,0.9090909090909091,0.0
it doesnt matter they still keep open communication with each other,That's no good what do you think the problem is?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.0
I believe its because I am the friend that has financial trouble and normally needs to borrow money,Do you owe someone already?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.12500000000000003,0.0,0.12500000000000003,0.9090909090909091,0.9090909090909091,0.0
perhaps they are tired of being asked,"That can get in the way of a friendship sometimes, but I try not to get ahead of myself and  jump the gun. They may have lost a phone or something may have come up...",I understand. Can you tell me more about how you feel?,0.0021269981282370015,0.08695652173913043,0.0,0.043478260869565216,0.9090909090909091,0.9090909090909091,0.0
I also think sometimes to myself that they don't answer because they think I'm asking for money,"I see, Have you tried for unemployment?",I understand. Can you tell me more about how you feel?,0.022416933501922302,0.2222222222222222,0.0,0.2222222222222222,0.9090909090909091,0.9090909090909091,0.0
yes i dont qualify,I understand that. What if that is the case? You may need to talk to them and let them know how you feel about that.,I understand. Can you tell me more about how you feel?,0.013276856794013797,0.3888888888888889,0.17647058823529413,0.3333333333333333,0.9090909090909091,0.9090909090909091,0.0
and it happens on and off like when they feel lie it i guess i will say maybe 4 months,"I understand that, but if you want to get to a point that you feel better about it then you will have to speak to them.",I understand. Can you tell me more about how you feel?,0.0068173243080656655,0.3243243243243243,0.11428571428571428,0.27027027027027023,0.9090909090909091,0.9090909090909091,0.0
yes i know i hope everything be immediately resolved and not lead into other problems and end of friendshps,Do you see them everyday?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.12500000000000003,0.0,0.12500000000000003,0.9090909090909091,0.9090909090909091,0.0
when i go out of town i can visit but with covid19  rules,Well I can see that you have put the effort in to try and keep the relationship so it sounds like the ball is in their court if they want to do the same.,I understand. Can you tell me more about how you feel?,0.002770166820146267,0.13333333333333333,0.0,0.13333333333333333,0.9090909090909091,0.9090909090909091,0.0
yes i like to read and play music,I like to go on runs every morning. It helps to clear my mind and makes it easier to brush things off when they bother me.,I understand. Can you tell me more about how you feel?,0.0048205762477811194,0.10810810810810811,0.0,0.10810810810810811,0.9090909090909091,0.9090909090909091,0.0
i played the piano when i was in highschool,"It is a really good stress reliever. I played when I  was younger, didn't ever get very good. Did you?",I understand. Can you tell me more about how you feel?,0.008317385975693101,0.125,0.0,0.125,0.9090909090909091,0.9090909090909091,0.0
no i didn't i had to stop because i have what the doctors call a trigger finger it caused great pain when i would practice,"Hmm, well maybe take some more lessons, We can always strive to be better at everything we do.",I understand. Can you tell me more about how you feel?,0.009975840318370089,0.13793103448275862,0.0,0.06896551724137931,0.9090909090909091,0.9090909090909091,0.0
yes that is true,Maybe take a run in order to clear your mind.,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
yes i will give them time maybe stop reaching out so much,That may be a good idea. Good talk,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
yes thank you for talking with me and giving great advice,to them and may find out that it was never anything against you,I understand. Can you tell me more about how you feel?,0.01571650849186369,0.08333333333333334,0.0,0.08333333333333334,0.9090909090909091,0.9090909090909091,0.0
yes maybe everyone is stressed at some level thanks to covid19,I sometimes get ahead of myself and try to figure out what is going on and thinking that it was something I did. You are right too. COVID has stressed everyone out to the max.,I understand. Can you tell me more about how you feel?,0.0021269981282370015,0.08695652173913043,0.0,0.08695652173913043,0.9090909090909091,0.9090909090909091,0.0
yes i hope next year bring blessings for everyone,I'm sure it will. Is there anything else I can help you with today?,I understand. Can you tell me more about how you feel?,0.01706602014357155,0.23076923076923075,0.0,0.23076923076923075,0.9090909090909091,0.9090909090909091,0.0
no that was all thanks for speaking with me,"No problem, I hope everything works out for you and your friends. Have a great New Year!",I understand. Can you tell me more about how you feel?,0.01299236773467766,0.14285714285714285,0.0,0.14285714285714285,0.9090909090909091,0.9090909090909091,0.0
you to and thanks,Good day!,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
Hello,Hi :) Is there anything you'd like to talk about? Something on your mind?,I understand. Can you tell me more about how you feel?,0.0,0.16,0.0,0.16,0.9090909090909091,0.9090909090909091,0.0
I'm concerned about my job. I have been out of work for the past 5 weeks because I tested positive for COVID-19.,"Oh I am so sorry to hear that! Are you at least getting sick pay? If not, are you getting advice about help you might be able to access?",That sounds like a difficult situation. What do you think you can do next?,0.005818092916873683,0.1395348837209302,0.0,0.1395348837209302,0.8571428571428571,0.9285714285714286,0.0
"It just keeps getting better...  I applied for the Pandemic Unemployment Assistance and was approved.  The next day, I got an email asking me to verify my identity (I am fine with that.  It actually makes good sense.)...",So you have been getting some assistance?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.1111111111111111,0.0,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
"I have gone online once a week and qualified, as one is supposed to do, and still I have not received a cent.","I see, so you are really financially struggling at the moment? Is there anywhere else you could apply for assistance? What about a foodbank?",I understand. Can you tell me more about how you feel?,0.008176672201405047,0.2285714285714286,0.0,0.17142857142857143,0.9090909090909091,0.9090909090909091,0.0
Calling the customer service line is futile.  The computer just plays a recording that the agents are on other calls and then it disconnects the call.,I hear you there - I spent a long time on hold for an official matter the other day. I guess that everyone is really desperate for help and advice right now.,I understand. Can you tell me more about how you feel?,0.003322527286071192,0.09523809523809523,0.0,0.09523809523809523,0.9090909090909091,0.9090909090909091,0.0
"I have been very fortunate.  People in my church have been bringing me food.  I plan on trying to go to the food bank Monday, if they are open.",I hope that they can help you. My partner and I have used one before and they were very helpful. I felt a bit ashamed but there was no judgement at all.,I understand. Can you tell me more about how you feel?,0.002793901284439917,0.13953488372093023,0.0,0.13953488372093023,0.9090909090909091,0.9090909090909091,0.0
I actually got so tired of redialing the Department of Labor and Training that I sent an email to the Lieutenant Governor of the state asking for his assistance in getting the matter resolved.,That sounds like a very positive thing to have done. I really hope that they pay some attention to you. This situation is not your fault!,I understand. Can you tell me more about how you feel?,0.0048205762477811194,0.10810810810810811,0.0,0.10810810810810811,0.9090909090909091,0.9090909090909091,0.0
"I have been to this food bank once before, and they actually made me feel very comfortable and welcomed and gave me an information package on other ways the parent organization may be able to assist me.",Yes they are run by lovely people. Ours gave us a pamphlet for cheap and easy to make recipes too.,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
I am very lucky in that the organization is only 3 miles from me.  I will be looking into their rent assistance and employment assistance programs as well.,"So, at least it sounds like you have a good handle on this and are doing everything you can to help yourself, am I right?",I understand. Can you tell me more about how you feel?,0.006948012430645828,0.2222222222222222,0.0,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
"I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals.  I just need to have the ingredients.","That sounds very encouraging! It's amazing what you can make even with cheap food. Noodles , for instance, are very versatile :)",I understand. Can you tell me more about how you feel?,0.006934644827991705,0.125,0.0,0.0625,0.9090909090909091,0.9090909090909091,0.0
You are right.  I am definitely not going to sit and pout.  I am just a bit frustrated with the system.,It's a very strange situation and I suspect that some of the authorities just feel overwhelmed and have no idea how to cope.,I understand. Can you tell me more about how you feel?,0.007530094129003774,0.17142857142857143,0.0,0.1142857142857143,0.9090909090909091,0.9090909090909091,0.0
"I am concerned that my boss may try to not take me back at my job.  Because this is an ""at will"" state, he can terminate me without cause.  Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.",That would be incredibly immoral of him. Do you feel that he is likely to do such a  thing?,That sounds like a difficult situation. What do you think you can do next?,0.014133460058853627,0.36363636363636365,0.06451612903225808,0.24242424242424243,0.8571428571428571,0.9285714285714286,0.0
"I would not put it past him.  Sadly.  But I have taken the attitude that if it does occur, there is nothing I can do to change the situation.  I would simply pursue a charge against him for wrongful termination, and seek a new job.",That is a very rational way to look at things. I really hope that it does not come to thank though! Thank you for talking and I wish you all the best for the coming months.,I'm sorry to hear that. Would you like to talk more about it?,0.0034856504477720246,0.28,0.0,0.16,0.9230769230769231,0.9230769230769231,0.0
"I may not win the suit, but I would definitely file one.  In 2000, I had an employer fire me without cause.  I sued and won that time.  Not only did they have to pay me back wages for the 90 days that the investigation took place, which was no minor sum,",I am glad that you'd not roll over and accept ill treatment! Well done :),I understand. Can you tell me more about how you feel?,0.01310368481704471,0.15384615384615383,0.0,0.15384615384615383,0.9090909090909091,0.9090909090909091,0.0
"they were found to be guilty, so the judge granted me my wages based on the average of 80 hour weeks I had been working, all my vacation time, plus the overtime I would have received, holiday pay, and then to put a nice bow on that gift, he awarded me 5000 dollars in damages because the old company lied and said I had broken the law.",I am afraid I need to leave now but thank you for talking :) (can you press the quit button and take the survey?) Best wishes!,I understand. Can you tell me more about how you feel?,0.006344235127160769,0.2222222222222222,0.058823529411764705,0.16666666666666666,0.9090909090909091,0.9090909090909091,0.0
Thank you for your time.  Have a great holiday.,You too!,I understand. Can you tell me more about how you feel?,0.0,0.15384615384615385,0.0,0.15384615384615385,0.9090909090909091,0.9090909090909091,0.0
I am dong good. You?,I am okay thanks but it is a worrying year. Have you been worrying about anything?,I understand. Can you tell me more about how you feel?,0.015746804497764583,0.2222222222222222,0.0,0.2222222222222222,0.9090909090909091,0.9090909090909091,0.0
I have been staying home since last March due to COVID; getting very depressed.,"Ah I hear you, I have been self isolating too. Do you have an online support network?",I understand. Can you tell me more about how you feel?,0.01299236773467766,0.21428571428571427,0.0,0.21428571428571427,0.9090909090909091,0.9090909090909091,0.0
What do you mean by support netwrok?,"Well, friends you can talk to during this difficult time? I have a lot of friends on facebook and similar that I can talk to.",I understand. Can you tell me more about how you feel?,0.0062782379534376785,0.16666666666666666,0.0,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
I have few friends and can talk to but not sure how would they help.,Sometimes it does just make it easier to know that other people are in the same situation as you :),I understand. Can you tell me more about how you feel?,0.008317385975693101,0.06666666666666667,0.0,0.06666666666666667,0.9090909090909091,0.9090909090909091,0.0
You mean share experiences among the friends?,Yes .. or at least share coping mechanisms perhaps?,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
"Yes, I pay musical instruments but do to COVID could not play with the band",Could you perhaps set up Zoom meetings where you could play together online?,I understand. Can you tell me more about how you feel?,0.018690183721524995,0.16666666666666669,0.0,0.16666666666666669,0.9090909090909091,0.9090909090909091,0.0
Any idea how would it work? Would there be any delay between the sounds from different instruments?,No I don't think so :) I think that it is totally live so you could play just as you would if you were together in person.,I understand. Can you tell me more about how you feel?,0.0057929256388735886,0.15789473684210525,0.0,0.15789473684210525,0.9090909090909091,0.9090909090909091,0.0
Thanks for the idea. I will give it a try.,"I hope it goes well for you. It has been such an awful year, hasn't it?",I understand. Can you tell me more about how you feel?,0.011964983992380529,0.14285714285714285,0.0,0.14285714285714285,0.9090909090909091,0.9090909090909091,0.0
"Yes, it was.. worst I ever seen..",I wish you all the very best for 2021. I hope that you get to get together with your band again and rock!,I understand. Can you tell me more about how you feel?,0.008333419026210017,0.1764705882352941,0.0,0.1764705882352941,0.9090909090909091,0.9090909090909091,0.0
Thanks for your time and support.,"Yes, all we need to do is be patient! Have a great New Year and thanks for talking.",I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
Too many decisions. I don't know what to do.,I am sorry to hear that but I am happy to listen and help you if I can,I understand. Can you tell me more about how you feel?,0.011863340284736726,0.20689655172413793,0.0,0.13793103448275862,0.9090909090909091,0.9090909090909091,0.0
He lied about everything.,"Well, let's try to take it one problem at a time so's not to get overwhelmed. What is your biggest problem at the moment?",I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
"ANd, no. We haven't broken up yet.",Ah I totally hear you .. the old 'we're getting divorced' line. I've been in that one! You are well out of this.,I understand. Can you tell me more about how you feel?,0.007530094129003774,0.17142857142857143,0.0,0.17142857142857143,0.9090909090909091,0.9090909090909091,0.0
He has such pretty words.,From personal experience I think that if they say they're going to get divorced and then drag their feet it is never going to happen.,I understand. Can you tell me more about how you feel?,0.005279347789155559,0.05405405405405406,0.0,0.05405405405405406,0.9090909090909091,0.9090909090909091,0.0
My stupid emotions are clouding things.,"Well, if you were to give him an ultimatum what do you think he would say?",I understand. Can you tell me more about how you feel?,0.014228844094632594,0.14814814814814814,0.0,0.14814814814814814,0.9090909090909091,0.9090909090909091,0.0
Too soon to tell.,I can tell that you feel that you are being cheated here. I can't tell you what to do but don't you think you deserve better?,I understand. Can you tell me more about how you feel?,0.0068173243080656655,0.30769230769230765,0.05405405405405406,0.25641025641025644,0.9090909090909091,0.9090909090909091,0.0
I guess that's what I'm trying to figure out. Should I give him time to prove himself now that he's backed into a corner.,It's not for me to say but I wonder if he's really going to change as he has not already.,I understand. Can you tell me more about how you feel?,0.009891094580518088,0.12121212121212123,0.0,0.060606060606060615,0.9090909090909091,0.9090909090909091,0.0
I agree with you. It's one of my fears.,How do your children feel about this? And his?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.3,0.0,0.19999999999999998,0.9090909090909091,0.9090909090909091,0.0
His kids actually asked if they could come live with me while he and his (ex?) figured their shit out.,"Yes, I can imagine that it is. It is always really difficult when children are involved. I know you would not want your children to be hurt",I understand. Can you tell me more about how you feel?,0.005234499214049016,0.15789473684210525,0.0,0.15789473684210525,0.9090909090909091,0.9090909090909091,0.0
"Indeed I don't, you're right.",I hear you. Covid has disrupted the whole world so might this year! I can't wait for it to be over.,I understand. Can you tell me more about how you feel?,0.007594611092001413,0.1818181818181818,0.0,0.12121212121212123,0.9090909090909091,0.9090909090909091,0.0
But now it seems like it will hurt them if I break up with him.,But it will hurt them more the longer the situation goes on :(,I understand. Can you tell me more about how you feel?,0.01571650849186369,0.08695652173913043,0.0,0.08695652173913043,0.9090909090909091,0.9090909090909091,0.0
And this is all a part of why this is not a simple situation.,Well it surely could not be worse :),I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
"She lives in her bedroom. Only comes out to work two nights a week. DOesn't want to have anything to do with her kids (5, 9, 11, 13)",(sorry was afk let me catch up),I understand. Can you tell me more about how you feel?,0.018850319022747353,0.1111111111111111,0.0,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
And she and my BF have been living that way for three years. Over a year before I even met him.,Is it possible she is suffering from depression?,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
I would all but guarantee it.,It just worries me that he might treat you the same way if you were ever in the same position,I understand. Can you tell me more about how you feel?,0.010946295538305204,0.19354838709677416,0.0,0.12903225806451613,0.9090909090909091,0.9090909090909091,0.0
(I know. You're right. I thought that as well),And how does she feel about you?,I understand. Can you tell me more about how you feel?,0.022416933501922302,0.4444444444444444,0.0,0.2222222222222222,0.9090909090909091,0.9090909090909091,0.0
"(before he was furloughed, he made very good money.)",I think it would be better if he  were able to come to a sensible financial solution with her. This situation is damaging for everyone.,I understand. Can you tell me more about how you feel?,0.005279347789155559,0.05555555555555555,0.0,0.05555555555555555,0.9090909090909091,0.9090909090909091,0.0
EVERYBODY!,I hope I have been able to have been of some help to you :) A very happy New Year to you!,I understand. Can you tell me more about how you feel?,0.00824672896946456,0.18749999999999997,0.0,0.18749999999999997,0.9090909090909091,0.9090909090909091,0.0
Happy New Year!,You just need to press quit and take the survey - it has to be done at your end :),I understand. Can you tell me more about how you feel?,0.0,0.06896551724137931,0.0,0.06896551724137931,0.9090909090909091,0.9090909090909091,0.0
could be better,I am sorry to hear that. Would you like to talk about anything specific?,I understand. Can you tell me more about how you feel?,0.01888665593413212,0.23999999999999996,0.0,0.23999999999999996,0.9090909090909091,0.9090909090909091,0.0
"thank you, I just don't know what else to do to get a job?",So you're unemployed? I am sorry to hear that. Are you prepared to take jobs that are below your usual level just to get by for a while?,That sounds like a difficult situation. What do you think you can do next?,0.00624887284047936,0.18604651162790697,0.0,0.09302325581395349,0.8571428571428571,0.9285714285714286,0.0
have tried that but don't even get an interview,"It's a very difficult time to be out of work, I know. I hope that there is something out there for you. Have you tried employment agencies?",I understand. Can you tell me more about how you feel?,0.005234499214049016,0.15384615384615383,0.0,0.15384615384615383,0.9090909090909091,0.9090909090909091,0.0
"yes, I do not qualify for unemployment because I have savings above the min threshold and I also have rental property, which is currently loss making and I can't sell it because it's 30% below market value","Well, on the plus side at least you do have savings .. hopefully this can give you some security for a while",I understand. Can you tell me more about how you feel?,0.00824672896946456,0.18749999999999997,0.0,0.125,0.9090909090909091,0.9090909090909091,0.0
"it's almost depleted, been out of work now for nearly 9 months but still can't get unemployment support because of the property that I cannot get rid off else I will declared bankrupt by the mortgage lender",Perhaps bankruptcy might not be a bad option? You would be eligible for some help then at least.,I understand. Can you tell me more about how you feel?,0.0,0.06896551724137931,0.0,0.06896551724137931,0.9090909090909091,0.9090909090909091,0.0
but the cost is 7 years of my future???,So you feel as though you have been working hard all your life and now you need help and support and are not getting it,I understand. Can you tell me more about how you feel?,0.0062782379534376785,0.16666666666666666,0.058823529411764705,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
"very well put. seems i am being penalised for working hard, saving and investing? I should have been on more holidays and lived all the way above my means!",I know how you feel .. I sometimes feel I would have been better off if I'd just not bothered working!,I understand. Can you tell me more about how you feel?,0.017774027710448885,0.25,0.13333333333333333,0.25,0.9090909090909091,0.9090909090909091,0.0
thank you for your help.,You're welcome :) You need to press quit first and take the survey before I can :),I understand. Can you tell me more about how you feel?,0.010925235453748463,0.2962962962962963,0.0,0.14814814814814814,0.9090909090909091,0.9090909090909091,0.0
"say i can't quit until we have exchanged 10 messages or spent 15min. I think that has all been done, yes?",Please can you quit and take the survey. I cannot do it till you do and neither of us will get paid if I have to quit.,I understand. Can you tell me more about how you feel?,0.0057929256388735886,0.21052631578947367,0.05555555555555555,0.15789473684210525,0.9090909090909091,0.9090909090909091,0.0
hi! I am good. you?,I am not so bad thanks. Is there anything on your mind right now?,I understand. Can you tell me more about how you feel?,0.014350755161376995,0.08,0.0,0.08,0.9090909090909091,0.9090909090909091,0.0
Yes I have been wanting to find online jobs like this but it is so competitive,I hear you! I do gig work online too but it can be very difficult to find any. I think a lot more people are working online due to the pandemic.,That sounds like a difficult situation. What do you think you can do next?,0.006341961279211399,0.26666666666666666,0.0,0.08888888888888889,0.8571428571428571,0.9285714285714286,0.0
"totally
1","Are you struggling financially at the moment, then?",I understand. Can you tell me more about how you feel?,0.018850319022747353,0.10526315789473685,0.0,0.10526315789473685,0.9090909090909091,0.9090909090909091,0.0
"I still have a main job but due to big increase of my house expense, I need to work more, way more",I have not but I appreciate the recommendation! I think that we all need to come together and help each other at this time.,That sounds like a difficult situation. What do you think you can do next?,0.006992433197058631,0.10526315789473685,0.0,0.052631578947368425,0.8571428571428571,0.9285714285714286,0.0
"i have applied to Appen a few times, and they always say there is no position available now","Are you aware that there are organisations that can offer a little help at this time? Food banks for instance, though I know some people feel awkward about accepting such help.",I understand. Can you tell me more about how you feel?,0.00402691708552917,0.23809523809523805,0.0,0.09523809523809523,0.9090909090909091,0.9090909090909091,0.0
"ah yes, food banks, yeah I never thought about it but free food always helps.",I have had to use foodbanks once or twice this year and I did feel a bit bad about it but everyone there was very kind and no-one judged us.,I understand. Can you tell me more about how you feel?,0.003985026275819998,0.14285714285714285,0.0,0.09523809523809523,0.9090909090909091,0.9090909090909091,0.0
If i lose my main job I will use it,There is nothing to be ashamed of in doing so and when you get to a better position you can give back to them.,That sounds like a difficult situation. What do you think you can do next?,0.017585038513612494,0.2631578947368421,0.05555555555555555,0.2105263157894737,0.8571428571428571,0.9285714285714286,0.0
Absolutely! Volunteering is a great spirit.,Do you feel you will be getting the vaccine when it is rolled out where you are?,I understand. Can you tell me more about how you feel?,0.01299236773467766,0.21428571428571427,0.07692307692307693,0.14285714285714285,0.9090909090909091,0.9090909090909091,0.0
how about you,"That is a good idea - yes, I will get it. I think and hope it will help 2021 to be a better year than 2020 has been!",I understand. Can you tell me more about how you feel?,0.004019169513391414,0.05263157894736842,0.0,0.05263157894736842,0.9090909090909091,0.9090909090909091,0.0
"Great, I agree with you completely.","So, you feel that the New Year might be a turning point for us all?",I understand. Can you tell me more about how you feel?,0.01310368481704471,0.15384615384615383,0.08333333333333333,0.15384615384615383,0.9090909090909091,0.9090909090909091,0.0
I guess summer next year would be,Yes it might take a little while - we are definitely not out of the woods yet and people do need to stick to the regulations to try to mitigate the situation.,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
totally!,I sincerely hope that things pick up for you and for all of us. And that online work remains plentiful :D,I understand. Can you tell me more about how you feel?,0.009031565546286669,0.125,0.0,0.125,0.9090909090909091,0.9090909090909091,0.0
How are you?,I AM FINE,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.14285714285714288,0.0,0.14285714285714288,0.9090909090909091,0.9090909090909091,0.0
"I am ok, I'm having a hard time dealing with the pandemic though.",Please how may i be of help,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.2222222222222222,0.0,0.1111111111111111,0.9090909090909091,0.9090909090909091,0.0
I am having a hard time being motivated to do anything.,okay,I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
Do you have any suggestions that might help me feel better?,I could see how bad you feel because of that,I understand. Can you tell me more about how you feel?,0.024808415001701823,0.380952380952381,0.10526315789473685,0.380952380952381,0.9090909090909091,0.9090909090909091,0.0
What do you like to do for yourself when you feel bad?,"It happens anyway, but not all the time",I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
I think it is because we have to stay home to be safe but other people don't listen and more people are dying because of it,"I am like that sometime,  I switch to what I love doing most",I understand. Can you tell me more about how you feel?,0.01571650849186369,0.08333333333333334,0.0,0.08333333333333334,0.9090909090909091,0.9090909090909091,0.0
What do you love doing most?,"do you have anything?, that you love doing most",I understand. Can you tell me more about how you feel?,0.022416933501922302,0.19999999999999998,0.0,0.19999999999999998,0.9090909090909091,0.9090909090909091,0.0
I like to read,"I love playing soccer game, anytime I am not motivated to work or do anything in office or home, I pick my phone play soccer game. I will laugh, enjoy myself, within 5 minutes , I do gain my morale",I understand. Can you tell me more about how you feel?,0.0013500831750098367,0.04,0.0,0.04,0.9090909090909091,0.9090909090909091,0.0
"I like that suggestion, thank you","that is good, reading is a good hobby",I understand. Can you tell me more about how you feel?,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
"I should try soccer, that sounds like fun",It seems you like reading novel,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.11764705882352942,0.0,0.11764705882352942,0.9090909090909091,0.9090909090909091,0.0
I do. I like many books,"very fun, within some minutes , you will be alive back and motivated",I understand. Can you tell me more about how you feel?,0.01571650849186369,0.08695652173913043,0.0,0.08695652173913043,0.9090909090909091,0.9090909090909091,0.0
"That is a good idea too, I will use my phone to read too","it is a nice time chatting with you, if your are okay with that you can end the chat.",I understand. Can you tell me more about how you feel?,0.009108946940221201,0.19999999999999998,0.0,0.13333333333333333,0.9090909090909091,0.9090909090909091,0.0
I need some tips to overcome from that problem,Hey. How can I help?,I understand. Can you tell me more about how you feel?,0.018850319022747353,0.37499999999999994,0.0,0.12500000000000003,0.9090909090909091,0.9090909090909091,0.0
Give me some tips to get succeed in my life,Okay. Well lets start with exactly what the problem is. What kind of tips do you need?,I understand. Can you tell me more about how you feel?,0.010925235453748463,0.07142857142857142,0.0,0.07142857142857142,0.9090909090909091,0.9090909090909091,0.0
I was totally upset due to my financial career,Okay I understand. Tell me a little about that.,I understand. Can you tell me more about how you feel?,0.04740604259878138,0.5,0.22222222222222224,0.5,0.9090909090909091,0.9090909090909091,0.0
