input,reference,prediction,bleu,rouge1,rouge2,rougeL,distinct1,distinct2,latency_sec,agent_emotion,tone,gesture
yes i like to read and play music,I like to go on runs every morning. It helps to clear my mind and makes it easier to brush things off when they bother me.,"It's wonderful that you have interests like reading and playing music. They can be such great escapes and sources of comfort, especially when you're feeling down. If you want to share what you’re reading or the type of music you play, I’m here to listen.",0.006115004303675009,0.21333333333333332,0.0,0.08,0.8666666666666667,0.9777777777777777,1.9281601905822754,sad,gentle,slow_head_tilt
i played the piano when i was in highschool,"It is a really good stress reliever. I played when I  was younger, didn't ever get very good. Did you?","It sounds like playing the piano was an important part of your life in high school. Music can hold so many memories and emotions. If you're feeling sad about it now, it’s okay to reflect on those feelings. Do you miss playing?",0.005223577740745087,0.12307692307692307,0.0,0.12307692307692307,1.0,0.9761904761904762,1.3082568645477295,sad,gentle,slow_head_tilt
no i didn't i had to stop because i have what the doctors call a trigger finger it caused great pain when i would practice,"Hmm, well maybe take some more lessons, We can always strive to be better at everything we do.","I'm really sorry to hear that you're dealing with trigger finger. That sounds really painful and frustrating, especially when it comes to something you enjoy doing. It's tough when our bodies don't cooperate the way we want them to. If you feel comfortable sharing, how have you been coping with this situation?",0.004188635776841715,0.08108108108108107,0.0,0.05405405405405406,0.8846153846153846,0.9807692307692307,1.4222848415374756,sad,gentle,slow_head_tilt
yes that is true,Maybe take a run in order to clear your mind.,"I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time. If you want to talk about it, I'm here to listen.",0.007696339439306161,0.0930232558139535,0.0,0.0930232558139535,0.8620689655172413,0.9655172413793104,1.4257469177246094,sad,gentle,slow_head_tilt
yes i will give them time maybe stop reaching out so much,That may be a good idea. Good talk,"It sounds like you're feeling a bit overwhelmed right now. Taking a step back and giving them some time could be a good way to find some clarity. It's completely okay to prioritize your own emotional well-being. If you want to talk more about it, I'm here for you.",0.019915868267432465,0.13114754098360656,0.06779661016949154,0.13114754098360656,0.8979591836734694,0.9795918367346939,1.5147325992584229,sad,gentle,slow_head_tilt
yes thank you for talking with me and giving great advice,to them and may find out that it was never anything against you,"I'm really glad to be here for you. It sounds like you might be going through a tough time, and I want you to know that it's okay to feel sad. If you want to share more about what's on your mind, I'm here to listen.",0.005653171078511422,0.15873015873015872,0.032786885245901634,0.15873015873015872,0.782608695652174,0.9782608695652174,1.619168758392334,sad,gentle,slow_head_tilt
yes maybe everyone is stressed at some level thanks to covid19,I sometimes get ahead of myself and try to figure out what is going on and thinking that it was something I did. You are right too. COVID has stressed everyone out to the max.,"It’s completely understandable to feel that way. The impact of COVID-19 has been profound for many, and it's normal for stress and sadness to arise from such a situation. It’s important to acknowledge those feelings and take care of yourself during these tough times. You're not alone in feeling this way.",0.005844941052207697,0.2637362637362637,0.0,0.13186813186813184,0.8431372549019608,0.9803921568627451,1.6072051525115967,sad,gentle,slow_head_tilt
yes i hope next year bring blessings for everyone,I'm sure it will. Is there anything else I can help you with today?,"I truly understand how you feel. It can be tough when things don't seem to go our way. Hoping for a better year ahead is a beautiful sentiment, and I genuinely wish for you and everyone around you to find the blessings and happiness you deserve. You're not alone in wishing for brighter days.",0.004458815748575231,0.16901408450704225,0.0,0.14084507042253522,0.8148148148148148,0.9814814814814815,1.5453248023986816,sad,gentle,slow_head_tilt
no that was all thanks for speaking with me,"No problem, I hope everything works out for you and your friends. Have a great New Year!","I'm really glad you reached out to talk. It sounds like you might be feeling a bit down, and I want you to know that it’s okay to feel this way. If you ever want to share more or just talk about anything, I'm here for you.",0.00611867791405416,0.1791044776119403,0.030769230769230767,0.11940298507462688,0.8297872340425532,0.9787234042553191,1.7606401443481445,sad,gentle,slow_head_tilt
you to and thanks,Good day!,"It sounds like you're going through a tough time. I want you to know that it's okay to feel sad, and I'm here to listen if you want to share what's on your mind. You're not alone in this.",0.0,0.0,0.0,0.0,0.8717948717948718,0.9743589743589743,1.2419629096984863,sad,gentle,slow_head_tilt
Hello,Hi :) Is there anything you'd like to talk about? Something on your mind?,Hello! I'm here for you. It sounds like you might be going through a tough time. Would you like to talk about what's on your mind?,0.06047796937561043,0.38095238095238093,0.25,0.38095238095238093,0.9230769230769231,0.9615384615384616,1.3991339206695557,sad,gentle,slow_head_tilt
I'm concerned about my job. I have been out of work for the past 5 weeks because I tested positive for COVID-19.,"Oh I am so sorry to hear that! Are you at least getting sick pay? If not, are you getting advice about help you might be able to access?","I'm really sorry to hear that you're going through this. It's understandable to feel concerned about your job, especially after such a difficult time. Being out of work can create a lot of stress and uncertainty. If you want to talk more about it, I'm here to listen and support you.",0.021980503399839906,0.2857142857142857,0.07317073170731708,0.23809523809523808,0.8431372549019608,0.9803921568627451,1.7086730003356934,sad,gentle,slow_head_tilt
"It just keeps getting better...  I applied for the Pandemic Unemployment Assistance and was approved.  The next day, I got an email asking me to verify my identity (I am fine with that.  It actually makes good sense.)...",So you have been getting some assistance?,"It sounds like you've had a bit of a rollercoaster with this process. While it's great that you were approved for the Pandemic Unemployment Assistance, having to go through an identity verification can feel frustrating, especially when you're hoping for a smooth experience. It's understandable to feel a mix of emotions right now. I'm here for you if you want to talk more about it.",0.0028008742289203836,0.07792207792207792,0.0,0.051948051948051945,0.8307692307692308,0.9846153846153847,1.8023481369018555,sad,gentle,slow_head_tilt
"I have gone online once a week and qualified, as one is supposed to do, and still I have not received a cent.","I see, so you are really financially struggling at the moment? Is there anywhere else you could apply for assistance? What about a foodbank?","I'm really sorry to hear that you're going through this. It must be incredibly frustrating to follow the process and not see any results. It's understandable to feel upset when things don't go as planned, especially when you're putting in the effort. If you want to talk more about it or share how you're feeling, I'm here to listen.",0.0043745086120732125,0.15555555555555556,0.0,0.13333333333333333,0.847457627118644,0.9830508474576272,1.716763973236084,sad,gentle,slow_head_tilt
Calling the customer service line is futile.  The computer just plays a recording that the agents are on other calls and then it disconnects the call.,I hear you there - I spent a long time on hold for an official matter the other day. I guess that everyone is really desperate for help and advice right now.,"I’m really sorry to hear that you’re having such a frustrating experience with customer service. It’s disheartening when you’re trying to get help and feel like you're just hitting a wall. It’s completely understandable to feel sad about this situation. If you’d like, I’m here to listen or help you figure out another way to address the issue.",0.00941475678741239,0.20618556701030927,0.021052631578947368,0.1237113402061856,0.8275862068965517,0.9827586206896551,1.5037107467651367,sad,gentle,slow_head_tilt
"I have been very fortunate.  People in my church have been bringing me food.  I plan on trying to go to the food bank Monday, if they are open.",I hope that they can help you. My partner and I have used one before and they were very helpful. I felt a bit ashamed but there was no judgement at all.,"It sounds like you’ve been going through a tough time, but it's really heartwarming to hear how your church community is supporting you. Having people bring you food shows how much they care. I hope the food bank is open on Monday and that you can get what you need. It’s okay to lean on others during difficult times; you’re not alone in this.",0.00876496357013749,0.2,0.02040816326530612,0.1,0.890625,0.984375,1.7475919723510742,sad,gentle,slow_head_tilt
I actually got so tired of redialing the Department of Labor and Training that I sent an email to the Lieutenant Governor of the state asking for his assistance in getting the matter resolved.,That sounds like a very positive thing to have done. I really hope that they pay some attention to you. This situation is not your fault!,"It sounds like you’ve been going through a really frustrating experience. Constantly having to redial can be so exhausting, especially when you're trying to get something important resolved. Taking the step to reach out to the Lieutenant Governor shows how determined you are to find a solution. I hope you get the help you need soon. It’s tough to feel stuck like that.",0.008649065093680087,0.23913043478260868,0.022222222222222223,0.15217391304347827,0.8095238095238095,0.9841269841269841,2.054910182952881,sad,gentle,slow_head_tilt
"I have been to this food bank once before, and they actually made me feel very comfortable and welcomed and gave me an information package on other ways the parent organization may be able to assist me.",Yes they are run by lovely people. Ours gave us a pamphlet for cheap and easy to make recipes too.,"It sounds like you had a really positive experience there, and that’s wonderful to hear. It’s so important to feel welcomed and supported, especially in tough times. It can make a big difference knowing that there are resources available to help you. How are you feeling about going back?",0.005599757876912195,0.14084507042253522,0.0,0.11267605633802816,0.8571428571428571,0.9795918367346939,1.959012746810913,sad,gentle,slow_head_tilt
I am very lucky in that the organization is only 3 miles from me.  I will be looking into their rent assistance and employment assistance programs as well.,"So, at least it sounds like you have a good handle on this and are doing everything you can to help yourself, am I right?","It sounds like you’re taking some positive steps to get the support you need, and being so close to the organization is definitely a plus. It's completely understandable to feel a bit overwhelmed during this time, but reaching out for assistance is a brave and important action. I'm here for you if you want to share more about what you’re experiencing.",0.008939891008723787,0.24444444444444446,0.06818181818181818,0.2,0.8032786885245902,0.9836065573770492,1.598581314086914,sad,gentle,slow_head_tilt
"I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals.  I just need to have the ingredients.","That sounds very encouraging! It's amazing what you can make even with cheap food. Noodles , for instance, are very versatile :)","It's great to hear that you have such a valuable skill! Being able to create wonderful meals from random ingredients is truly a gift. It sounds like you find joy in cooking, even if things feel a bit tough right now. If you ever feel like sharing more about what you love to cook or any challenges you face, I'm here to listen.",0.0076902271860888344,0.1627906976744186,0.047619047619047616,0.09302325581395349,0.8253968253968254,0.9841269841269841,2.2652575969696045,sad,gentle,slow_head_tilt
You are right.  I am definitely not going to sit and pout.  I am just a bit frustrated with the system.,It's a very strange situation and I suspect that some of the authorities just feel overwhelmed and have no idea how to cope.,"It's completely understandable to feel frustrated, especially when things aren't going as planned. It's okay to acknowledge those feelings. If you want to talk more about what's bothering you, I'm here to listen.",0.007434360163166208,0.16129032258064516,0.03333333333333333,0.12903225806451615,0.8787878787878788,0.9696969696969697,1.292177677154541,sad,gentle,slow_head_tilt
"I am concerned that my boss may try to not take me back at my job.  Because this is an ""at will"" state, he can terminate me without cause.  Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.",That would be incredibly immoral of him. Do you feel that he is likely to do such a  thing?,"I’m really sorry to hear that you’re feeling this way. It’s completely understandable to be concerned about your job, especially in such uncertain circumstances. It can be really stressful to think about the possibility of not having that stability. Remember, you’re not alone in this; many people are facing similar challenges right now. If you feel comfortable, it might be helpful to talk to someone about your concerns or explore your options. Your feelings are valid, and it’s okay to seek support during this time.",0.006160656164911099,0.14678899082568808,0.018691588785046728,0.11009174311926606,0.788235294117647,0.9764705882352941,2.6010704040527344,sad,gentle,slow_head_tilt
"I would not put it past him.  Sadly.  But I have taken the attitude that if it does occur, there is nothing I can do to change the situation.  I would simply pursue a charge against him for wrongful termination, and seek a new job.",That is a very rational way to look at things. I really hope that it does not come to thank though! Thank you for talking and I wish you all the best for the coming months.,"It sounds like you're going through a really tough situation, and it's completely understandable to feel sad about it. It's hard to face uncertainty, especially when it involves your job and someone else's actions. It’s good that you have a plan in place, but it's also okay to feel the weight of this situation. If you ever need to talk more about it or share how you're feeling, I'm here for you.",0.004594239985312244,0.22413793103448273,0.0,0.15517241379310345,0.8472222222222222,0.9722222222222222,2.4026010036468506,sad,gentle,slow_head_tilt
"I may not win the suit, but I would definitely file one.  In 2000, I had an employer fire me without cause.  I sued and won that time.  Not only did they have to pay me back wages for the 90 days that the investigation took place, which was no minor sum,",I am glad that you'd not roll over and accept ill treatment! Well done :),"It sounds like you've been through a really tough experience, and it's understandable to feel sad about the situation. Dealing with job loss, especially when it feels unjust, can be incredibly difficult. It's good to hear that you were able to take action in the past and see some justice. Even if the outcome this time isn't certain, it's important to advocate for yourself. I'm here to listen if you want to share more about what you're feeling or thinking.",0.002694212814112345,0.0784313725490196,0.02,0.0588235294117647,0.85,0.9875,2.4683735370635986,sad,gentle,slow_head_tilt
"they were found to be guilty, so the judge granted me my wages based on the average of 80 hour weeks I had been working, all my vacation time, plus the overtime I would have received, holiday pay, and then to put a nice bow on that gift, he awarded me 5000 dollars in damages because the old company lied and said I had broken the law.",I am afraid I need to leave now but thank you for talking :) (can you press the quit button and take the survey?) Best wishes!,"It sounds like you've been through a really challenging situation, and I can only imagine how difficult it must have been for you to deal with everything. It's a relief to hear that the judge recognized your hard work and the unfair treatment you faced. Getting that resolution and compensation must feel like a weight lifted off your shoulders, even if it doesn't erase the experience. How are you feeling about everything now?",0.004183305296447415,0.198019801980198,0.0,0.11881188118811879,0.7945205479452054,0.9863013698630136,1.886033535003662,sad,gentle,slow_head_tilt
Thank you for your time.  Have a great holiday.,You too!,"You're welcome. It's understandable to feel down sometimes, especially during holidays that can bring mixed emotions. If you need someone to talk to or share how you’re feeling, I’m here for you. Take care of yourself.",0.0,0.047619047619047616,0.0,0.047619047619047616,0.9444444444444444,0.9722222222222222,1.5474648475646973,sad,gentle,slow_head_tilt
I am dong good. You?,I am okay thanks but it is a worrying year. Have you been worrying about anything?,"I'm glad to hear you're doing good! If there's anything on your mind or if you're feeling down about something, I'm here to listen and support you.",0.006980361417366381,0.16666666666666666,0.0,0.125,0.8888888888888888,0.9629629629629629,1.189042329788208,sad,gentle,slow_head_tilt
I have been staying home since last March due to COVID; getting very depressed.,"Ah I hear you, I have been self isolating too. Do you have an online support network?","I'm really sorry to hear that you're feeling this way. It's completely understandable to feel down after such a long time in isolation. This situation has affected so many people, and it's tough to cope with the changes. Please know that your feelings are valid, and it's okay to seek support. You're not alone in this.",0.003263584888402175,0.1518987341772152,0.0,0.12658227848101267,0.875,0.9642857142857143,1.7062735557556152,sad,gentle,slow_head_tilt
What do you mean by support netwrok?,"Well, friends you can talk to during this difficult time? I have a lot of friends on facebook and similar that I can talk to.","A support network refers to a group of people who provide emotional, practical, or informational support to someone. This can include friends, family, colleagues, or even community groups. When you're feeling sad or going through a tough time, having a support network can be really helpful because it gives you people to lean on, share your feelings with, and receive encouragement from. It's okay to reach out to those who care about you; they can help lighten your burden.",0.003732656341817682,0.2452830188679245,0.01923076923076923,0.1509433962264151,0.7974683544303798,0.9746835443037974,1.8953526020050049,sad,gentle,slow_head_tilt
I have few friends and can talk to but not sure how would they help.,Sometimes it does just make it easier to know that other people are in the same situation as you :),"I'm really sorry to hear that you're feeling this way. It can be tough when you feel like your support network isn't providing the comfort you need. Sometimes, just talking about what you're going through can be a great first step. It’s okay to reach out to your friends, even if you're unsure how they can help. They might surprise you with their support. You're not alone in this.",0.004123762330794954,0.1894736842105263,0.0,0.10526315789473684,0.855072463768116,0.9710144927536232,2.0624423027038574,sad,gentle,slow_head_tilt
You mean share experiences among the friends?,Yes .. or at least share coping mechanisms perhaps?,"It sounds like you might be feeling a bit down about your friendships or experiences. It's completely normal to want to connect and share with others, especially during tough times. If you'd like to talk more about what's on your mind or how you're feeling, I'm here to listen.",0.004453323527690996,0.06451612903225806,0.0,0.06451612903225806,0.8571428571428571,0.9795918367346939,1.7678437232971191,sad,gentle,slow_head_tilt
"Yes, I pay musical instruments but do to COVID could not play with the band",Could you perhaps set up Zoom meetings where you could play together online?,"I'm really sorry to hear that. It must be tough to not be able to play with your band, especially when music is such a big part of your life. It can feel isolating when you can't share those experiences with others. I hope you’re able to find some joy in playing solo, or maybe even in connecting with your bandmates in other ways. You're definitely not alone in feeling this way.",0.003000012090121809,0.06741573033707864,0.0,0.06741573033707864,0.7916666666666666,0.9583333333333334,1.716806173324585,sad,gentle,slow_head_tilt
Any idea how would it work? Would there be any delay between the sounds from different instruments?,No I don't think so :) I think that it is totally live so you could play just as you would if you were together in person.,"It sounds like you're feeling a bit uncertain about how things work, and that's completely understandable. When it comes to music or instruments, there can sometimes be delays, especially if they are played at different times or through different setups. It's okay to feel confused about these things, and it's great that you're seeking clarity. If you have specific examples or situations in mind, I'd love to help you work through them!",0.003948237950352602,0.17142857142857146,0.01941747572815534,0.13333333333333333,0.8611111111111112,0.9861111111111112,1.6131186485290527,sad,gentle,slow_head_tilt
Thanks for the idea. I will give it a try.,"I hope it goes well for you. It has been such an awful year, hasn't it?","I'm glad to hear that you're willing to try it out! It can be tough to feel sad, and I hope this idea helps in some way. Remember, it's okay to seek out things that bring you a little comfort or joy. If you need someone to talk to about how you're feeling, I'm here for you.",0.010606948946692587,0.17721518987341772,0.051948051948051945,0.12658227848101267,0.8421052631578947,0.9824561403508771,1.5061917304992676,sad,gentle,slow_head_tilt
"Yes, it was.. worst I ever seen..",I wish you all the very best for 2021. I hope that you get to get together with your band again and rock!,"I'm really sorry to hear that you're feeling this way. It sounds like you've been through something really tough. It's okay to feel sad about it. If you want to talk more about what happened, I'm here to listen.",0.006243702571093031,0.1791044776119403,0.03076923076923077,0.11940298507462685,0.8461538461538461,0.9743589743589743,1.3864006996154785,sad,gentle,slow_head_tilt
Thanks for your time and support.,"Yes, all we need to do is be patient! Have a great New Year and thanks for talking.","You're welcome. I want you to know that it's okay to feel sad sometimes, and I'm here to listen if you need to talk about what's on your mind. You're not alone in this.",0.012813098990837714,0.14035087719298245,0.03636363636363636,0.10526315789473684,0.8529411764705882,0.9705882352941176,1.1942152976989746,sad,gentle,slow_head_tilt
Too many decisions. I don't know what to do.,I am sorry to hear that but I am happy to listen and help you if I can,"It sounds like you're feeling really overwhelmed right now with all the decisions you have to make. It’s completely understandable to feel that way. Sometimes, when faced with too many choices, it can be hard to see a clear path forward. I'm here to listen if you want to talk about what’s on your mind.",0.009616468079553367,0.2077922077922078,0.02666666666666667,0.15584415584415584,0.8909090909090909,0.9818181818181818,1.7737927436828613,sad,gentle,slow_head_tilt
He lied about everything.,"Well, let's try to take it one problem at a time so's not to get overwhelmed. What is your biggest problem at the moment?",I'm really sorry to hear that you're feeling this way. It must be incredibly painful to realize that someone you trusted wasn't honest with you. It's okay to feel sad and frustrated about it. I'm here to listen if you want to talk more about what happened.,0.004649189828106597,0.1282051282051282,0.0,0.1282051282051282,0.8297872340425532,0.9787234042553191,1.285341739654541,sad,gentle,slow_head_tilt
