input,reference,full_pred,full_bleu,full_rouge,full_d1,full_d2,full_latency,base_pred,base_bleu,base_rouge,base_d1,base_d2,base_latency
im fine how are you,I'm doing ok I'm glad you are good. Is it snowing by you?,"I'm here for you, but it sounds like you might not be feeling your best. If you want to talk about what's on your mind, I'm here to listen.",0.009152541620698935,0.2127659574468085,0.8275862068965517,0.9310344827586207,1.4942033290863037,I understand. Can you tell me more?,0.014017732413740807,0.18181818181818182,1.0,0.8571428571428571,0.0
merry christmas to you also,How can I help you today?,"Thank you! I hope you're finding some joy this season, even if things feel a bit tough right now. If you want to talk about what’s on your mind, I’m here to listen.",0.0067177027389942,0.09523809523809525,0.9696969696969697,0.9696969696969697,1.6156926155090332,I understand. Can you tell me more?,0.039281465090051315,0.30769230769230765,1.0,0.8571428571428571,0.0
im having some issues with friends not actually being friends,I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right?,"I'm really sorry to hear that you're going through this. It can be really painful when you feel like the people you care about aren't being true friends. It's completely understandable to feel sad about it. If you want to talk more about what's been happening, I'm here to listen.",0.005484236895303142,0.17721518987341772,0.8,0.98,1.5330164432525635,I understand. Can you tell me more?,0.0046084687273252435,0.13333333333333333,1.0,0.8571428571428571,0.0
yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,Is this a significant other?,"I'm really sorry to hear that you're feeling this way. It can be incredibly disheartening when you're trying to reach out and not getting a response. It’s understandable to feel sad in this situation. You deserve to be heard and supported. If you want to talk more about it, I'm here for you.",0.00410726430147258,0.06349206349206349,0.8301886792452831,0.9811320754716981,2.3313608169555664,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
no friends,Are they ignoring you?,"I'm really sorry to hear that you're feeling this way. It can be incredibly tough to feel alone. If you want to talk more about it, I'm here to listen.",0.0,0.054054054054054064,0.8666666666666667,0.9666666666666667,1.1131117343902588,I understand. Can you tell me more?,0.0,0.18181818181818182,1.0,0.8571428571428571,0.0
when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,Are you sure they are okay? Or not away with family for the holidays?,"I'm really sorry to hear that you're feeling this way. It can be really tough when friendships change over time, and it’s normal to wonder if you did something wrong. It's possible that everyone is just caught up in their own lives now, but that doesn't diminish the bond you once shared. It’s okay to feel sad about it. Have you thought about reaching out to them to reconnect?",0.003133381778083795,0.0449438202247191,0.855072463768116,0.9855072463768116,2.322822332382202,I understand. Can you tell me more?,0.012151662434083676,0.09523809523809523,1.0,0.8571428571428571,0.0
it doesnt matter they still keep open communication with each other,That's no good what do you think the problem is?,"It sounds like you're feeling a bit down about the situation. It's tough when it seems like others can maintain that connection while you might be struggling. If you want to talk more about what you're feeling, I'm here to listen.",0.005927305348705561,0.10714285714285715,0.8780487804878049,0.975609756097561,1.8443269729614258,I understand. Can you tell me more?,0.02151810250197126,0.1111111111111111,1.0,0.8571428571428571,0.0
I believe its because I am the friend that has financial trouble and normally needs to borrow money,Do you owe someone already?,"I'm really sorry to hear that you're going through this. It can be tough to feel like you're in a position where you need to ask for help, especially when it comes to finances. It’s completely understandable to feel sad about it. Remember, it’s okay to lean on friends during challenging times, and it doesn't define your worth or your friendships. You're not alone in this.",0.0027574366655649983,0.02564102564102564,0.8333333333333334,0.9696969696969697,2.564002275466919,I understand. Can you tell me more?,0.033031643180138064,0.16666666666666666,1.0,0.8571428571428571,0.0
perhaps they are tired of being asked,"That can get in the way of a friendship sometimes, but I try not to get ahead of myself and  jump the gun. They may have lost a phone or something may have come up...","It sounds like you're feeling a bit down about the situation. It's tough when it seems like others may not want to engage or share. It's completely understandable to feel that way. If you want to talk more about it, I'm here to listen.",0.006550873947814101,0.09638554216867469,0.8409090909090909,0.9545454545454546,2.383777618408203,I understand. Can you tell me more?,0.0006049956483889278,0.04761904761904761,1.0,0.8571428571428571,0.0
I also think sometimes to myself that they don't answer because they think I'm asking for money,"I see, Have you tried for unemployment?","I'm really sorry to hear that you're feeling this way. It must be tough to think that people might not be responding because of misunderstandings. It can feel isolating when communication breaks down like that. Just know that your feelings are valid, and it's okay to feel sad about it. Would you like to talk more about what's been going on?",0.002989232719814957,0.05555555555555556,0.8360655737704918,0.9836065573770492,1.928713083267212,I understand. Can you tell me more?,0.039281465090051315,0.2857142857142857,1.0,0.8571428571428571,0.0
yes i dont qualify,I understand that. What if that is the case? You may need to talk to them and let them know how you feel about that.,"I'm really sorry to hear that you're feeling this way. It can be really tough when things don't go as we hoped, and it’s completely understandable to feel down about it. If you want to talk more about what's going on, I'm here for you.",0.012230008607350008,0.1842105263157895,0.8888888888888888,0.9777777777777777,2.4284708499908447,I understand. Can you tell me more?,0.003002136524390099,0.1875,1.0,0.8571428571428571,0.0
and it happens on and off like when they feel lie it i guess i will say maybe 4 months,"I understand that, but if you want to get to a point that you feel better about it then you will have to speak to them.","It sounds like you’re going through a really tough time with this situation. It can be so draining when feelings fluctuate like that, especially over an extended period. It’s completely understandable to feel sad about it. If you want to talk more about what’s been happening, I’m here to listen.",0.02388866231285941,0.225,0.9,0.98,2.078583002090454,I understand. Can you tell me more?,0.0026024858050265995,0.18181818181818182,1.0,0.8571428571428571,0.0
yes i know i hope everything be immediately resolved and not lead into other problems and end of friendshps,Do you see them everyday?,I can understand why you would feel that way. It’s really tough to face the possibility of friendships being affected by challenges. It’s completely normal to feel sad about it. I’m here to listen if you want to share more about what’s on your mind.,0.004089349842971759,0.03703703703703703,0.8444444444444444,0.9777777777777777,1.7873473167419434,I understand. Can you tell me more?,0.033031643180138064,0.16666666666666666,1.0,0.8571428571428571,0.0
when i go out of town i can visit but with covid19  rules,Well I can see that you have put the effort in to try and keep the relationship so it sounds like the ball is in their court if they want to do the same.,"It sounds like you might be feeling a bit overwhelmed by the restrictions and the uncertainty that comes with traveling during this time. It’s completely understandable to feel sad about missing out on visits or the normalcy of being with loved ones. If you'd like to talk more about it, I'm here to listen.",0.010713693374200367,0.1758241758241758,0.8703703703703703,0.9814814814814815,2.0072622299194336,I understand. Can you tell me more?,0.0008299497885655349,0.14634146341463417,1.0,0.8571428571428571,0.0
yes i like to read and play music,I like to go on runs every morning. It helps to clear my mind and makes it easier to brush things off when they bother me.,"It's great that you enjoy reading and playing music. Those activities can be really comforting and provide an escape during tough times. If you're feeling sad, immersing yourself in a good book or playing your favorite songs might help lift your spirits. What kind of books or music do you like?",0.003593400513595791,0.05063291139240506,0.9019607843137255,0.9803921568627451,2.193939208984375,I understand. Can you tell me more?,0.0021884209841955436,0.12121212121212123,1.0,0.8571428571428571,0.0
i played the piano when i was in highschool,"It is a really good stress reliever. I played when I  was younger, didn't ever get very good. Did you?",It sounds like playing the piano was a meaningful part of your life. Music can hold so many memories and emotions. Do you miss playing?,0.009970222994544455,0.17391304347826086,1.0,0.96,1.5739562511444092,I understand. Can you tell me more?,0.005156835566857781,0.14285714285714285,1.0,0.8571428571428571,0.0
no i didn't i had to stop because i have what the doctors call a trigger finger it caused great pain when i would practice,"Hmm, well maybe take some more lessons, We can always strive to be better at everything we do.","I'm really sorry to hear that you're dealing with trigger finger. That sounds incredibly frustrating and painful, especially when it's something you enjoy. It's tough to have to stop doing something you love because of an injury. How are you feeling about it?",0.004286566854494811,0.061538461538461535,0.8837209302325582,0.9534883720930233,1.6605894565582275,I understand. Can you tell me more?,0.0,0.08,1.0,0.8571428571428571,0.0
yes that is true,Maybe take a run in order to clear your mind.,It sounds like you're going through something difficult. I'm here to listen if you want to share more about what's on your mind.,0.019383418023456653,0.16666666666666669,0.9565217391304348,0.9565217391304348,1.5159931182861328,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
yes i will give them time maybe stop reaching out so much,That may be a good idea. Good talk,"It sounds like you're feeling a bit overwhelmed right now. It’s okay to take a step back and give yourself some space. Sometimes, giving things time can help bring clarity. If you need to talk more about it, I'm here for you.",0.005223577740745087,0.07547169811320754,0.9523809523809523,0.9761904761904762,2.006525754928589,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
yes thank you for talking with me and giving great advice,to them and may find out that it was never anything against you,"I'm really glad to hear that you found our conversation helpful. It sounds like you're going through a tough time, and I want you to know that it's okay to feel sad. I'm here to listen and support you. If there's anything else on your mind, feel free to share.",0.005484236895303142,0.14705882352941177,0.82,0.98,2.2764945030212402,I understand. Can you tell me more?,0.014017732413740807,0.1,1.0,0.8571428571428571,0.0
yes maybe everyone is stressed at some level thanks to covid19,I sometimes get ahead of myself and try to figure out what is going on and thinking that it was something I did. You are right too. COVID has stressed everyone out to the max.,"It’s completely understandable to feel that way. The impact of COVID-19 has affected so many people in various ways, and it can be really overwhelming. It’s okay to acknowledge that stress and sadness. If you’d like to talk more about what you’re feeling, I’m here to listen.",0.006771430219953416,0.13636363636363635,0.8723404255319149,0.9787234042553191,1.6522443294525146,I understand. Can you tell me more?,0.0006049956483889278,0.09523809523809522,1.0,0.8571428571428571,0.0
yes i hope next year bring blessings for everyone,I'm sure it will. Is there anything else I can help you with today?,"It sounds like you're really hoping for a better future. It's completely understandable to wish for positive changes, especially during tough times. I hope that next year brings you the comfort and joy you're looking for. You're not alone in feeling this way.",0.005097615802300061,0.0967741935483871,0.9534883720930233,0.9767441860465116,1.9573285579681396,I understand. Can you tell me more?,0.014450843425723598,0.27272727272727276,1.0,0.8571428571428571,0.0
no that was all thanks for speaking with me,"No problem, I hope everything works out for you and your friends. Have a great New Year!","I'm really glad you reached out to talk. It’s okay to feel sad sometimes, and I’m here to listen if you ever want to share more. You’re not alone in this.",0.007939087147543497,0.11538461538461539,0.8709677419354839,0.967741935483871,2.1739649772644043,I understand. Can you tell me more?,0.009413843821782234,0.16666666666666666,1.0,0.8571428571428571,0.0
you to and thanks,Good day!,"It sounds like you might be feeling a bit down. I'm here for you, and it's okay to express how you're feeling. If you'd like to talk about what's on your mind, I'm here to listen.",0.0,0.0,0.8611111111111112,0.9444444444444444,1.3113625049591064,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
Hello,Hi :) Is there anything you'd like to talk about? Something on your mind?,"Hello! I can sense that you might be feeling a bit down. If you want to talk about what's on your mind, I'm here to listen.",0.021729983079834318,0.3333333333333333,0.9230769230769231,0.9615384615384616,1.3147788047790527,I understand. Can you tell me more?,0.0,0.09523809523809523,1.0,0.8571428571428571,0.0
I'm concerned about my job. I have been out of work for the past 5 weeks because I tested positive for COVID-19.,"Oh I am so sorry to hear that! Are you at least getting sick pay? If not, are you getting advice about help you might be able to access?","I'm really sorry to hear that you're dealing with this situation. It must be difficult to be out of work and worrying about your job security, especially during a time like this. Your health is the priority, but it's completely understandable to feel anxious about your job. If you want to talk more about it, I'm here to listen.",0.019563397249507924,0.21739130434782608,0.847457627118644,0.9661016949152542,2.6569416522979736,That sounds difficult. What do you think you can do?,0.0037539661238538305,0.15384615384615385,0.9,0.9,0.0
"It just keeps getting better...  I applied for the Pandemic Unemployment Assistance and was approved.  The next day, I got an email asking me to verify my identity (I am fine with that.  It actually makes good sense.)...",So you have been getting some assistance?,"It sounds like you're going through a lot right now. While it's great that you were approved for the Pandemic Unemployment Assistance, I can sense that the situation might still be overwhelming. It’s completely understandable to feel a mix of emotions during this process. If you need to talk about it or share more, I’m here to listen.",0.003148013662646501,0.05797101449275363,0.896551724137931,0.9827586206896551,2.423670768737793,I understand. Can you tell me more?,0.033031643180138064,0.14285714285714285,1.0,0.8571428571428571,0.0
"I have gone online once a week and qualified, as one is supposed to do, and still I have not received a cent.","I see, so you are really financially struggling at the moment? Is there anywhere else you could apply for assistance? What about a foodbank?","I'm really sorry to hear that you're going through this. It must be incredibly frustrating to put in the effort and not see any results. You're not alone in feeling this way, and it's completely understandable to feel upset about it. If there's anything specific you'd like to talk about or any support you need, I'm here for you.",0.004625479698079485,0.13333333333333333,0.847457627118644,0.9830508474576272,2.4712986946105957,I understand. Can you tell me more?,0.0034631596044324827,0.12903225806451613,1.0,0.8571428571428571,0.0
Calling the customer service line is futile.  The computer just plays a recording that the agents are on other calls and then it disconnects the call.,I hear you there - I spent a long time on hold for an official matter the other day. I guess that everyone is really desperate for help and advice right now.,"I'm really sorry to hear that you're having such a frustrating experience with customer service. It must be disheartening to feel like you're not being heard or helped, especially when you just want assistance. It's understandable to feel sad about this situation. If you want, I’m here to listen and help you think through your options.",0.005308470686586064,0.13043478260869565,0.875,0.9642857142857143,2.3086228370666504,I understand. Can you tell me more?,0.0011044243069130064,0.10526315789473685,1.0,0.8571428571428571,0.0
"I have been very fortunate.  People in my church have been bringing me food.  I plan on trying to go to the food bank Monday, if they are open.",I hope that they can help you. My partner and I have used one before and they were very helpful. I felt a bit ashamed but there was no judgement at all.,"It sounds like you’re going through a tough time, but it’s heartwarming to hear that your church community is supporting you. Receiving help from others can really make a difference when you're feeling down. I hope the food bank is open on Monday and that you find what you need. Remember, it’s okay to lean on others during difficult times.",0.009364489338562149,0.10416666666666667,0.8666666666666667,0.9833333333333333,2.135409116744995,I understand. Can you tell me more?,0.0009287064406022147,0.15384615384615383,1.0,0.8571428571428571,0.0
I actually got so tired of redialing the Department of Labor and Training that I sent an email to the Lieutenant Governor of the state asking for his assistance in getting the matter resolved.,That sounds like a very positive thing to have done. I really hope that they pay some attention to you. This situation is not your fault!,"It sounds like you've been going through a really frustrating experience. It's understandable to feel overwhelmed when you're not getting the help you need from the usual channels. Reaching out to the Lieutenant Governor shows how determined you are to find a resolution. I hope you receive a response soon that brings some relief. It's tough dealing with these kinds of bureaucratic challenges, and it's okay to feel sad about it.",0.008287424277099725,0.17647058823529413,0.8450704225352113,0.971830985915493,1.0168616771697998,I understand. Can you tell me more?,0.0021884209841955436,0.12121212121212123,1.0,0.8571428571428571,0.0
"I have been to this food bank once before, and they actually made me feel very comfortable and welcomed and gave me an information package on other ways the parent organization may be able to assist me.",Yes they are run by lovely people. Ours gave us a pamphlet for cheap and easy to make recipes too.,"It sounds like your experience at the food bank was really positive and supportive. It's great to hear that they made you feel comfortable and provided you with helpful information. It can be really encouraging to find places where you feel welcomed, especially during tough times. If you ever feel like sharing more about your experience or how you're feeling now, I'm here to listen.",0.003686157786230468,0.06818181818181818,0.8,0.9538461538461539,2.266671895980835,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
I am very lucky in that the organization is only 3 miles from me.  I will be looking into their rent assistance and employment assistance programs as well.,"So, at least it sounds like you have a good handle on this and are doing everything you can to help yourself, am I right?","It sounds like you're taking positive steps towards getting the support you need, and being close to the organization can definitely make things easier. It's great that you're exploring rent and employment assistance programs. I hope they can provide you with the help you're looking for. If you're feeling overwhelmed, remember that it's okay to take things one step at a time. You're not alone in this.",0.008793669802561379,0.1616161616161616,0.835820895522388,0.9850746268656716,2.2462830543518066,I understand. Can you tell me more?,0.003002136524390099,0.0625,1.0,0.8571428571428571,0.0
"I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals.  I just need to have the ingredients.","That sounds very encouraging! It's amazing what you can make even with cheap food. Noodles , for instance, are very versatile :)","It's great to hear that you have a professional background in cooking! That skill can be such a wonderful outlet, especially when you're feeling down. It must be fulfilling to create something nourishing and delicious from whatever you have on hand. If you're ever feeling sad, cooking could be a nice way to express yourself and lift your spirits. Just remember that it's okay to feel what you're feeling right now. You're not alone in this.",0.0035697281352520416,0.0970873786407767,0.7894736842105263,0.9605263157894737,2.263465642929077,I understand. Can you tell me more?,0.0038752448326166435,0.07142857142857142,1.0,0.8571428571428571,0.0009980201721191406
You are right.  I am definitely not going to sit and pout.  I am just a bit frustrated with the system.,It's a very strange situation and I suspect that some of the authorities just feel overwhelmed and have no idea how to cope.,"It's completely understandable to feel frustrated, especially when things aren't going the way you hoped. It's okay to acknowledge those feelings. Sometimes, just talking about it can help lighten the load a bit. How can I support you right now?",0.007516177543513149,0.14925373134328357,0.875,0.975,2.247250556945801,I understand. Can you tell me more?,0.0033593641015164603,0.06451612903225806,1.0,0.8571428571428571,0.0
"I am concerned that my boss may try to not take me back at my job.  Because this is an ""at will"" state, he can terminate me without cause.  Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.",That would be incredibly immoral of him. Do you feel that he is likely to do such a  thing?,"I’m really sorry to hear that you’re feeling this way. It’s completely understandable to be worried about your job security, especially after going through something as challenging as COVID. The uncertainty can be very stressful, and it’s tough to navigate these feelings. Remember, it’s okay to express your concerns and seek support during this time. You deserve to feel secure and valued in your workplace. If you want to talk more about it, I’m here to listen.",0.003522436526299483,0.0980392156862745,0.7922077922077922,0.987012987012987,2.907589912414551,That sounds difficult. What do you think you can do?,0.01129295625547186,0.27586206896551724,0.9,0.9,0.0
"I would not put it past him.  Sadly.  But I have taken the attitude that if it does occur, there is nothing I can do to change the situation.  I would simply pursue a charge against him for wrongful termination, and seek a new job.",That is a very rational way to look at things. I really hope that it does not come to thank though! Thank you for talking and I wish you all the best for the coming months.,"It sounds like you’re dealing with a really tough situation, and it's completely understandable to feel this way. It’s good that you’re trying to focus on what you can control, like pursuing a wrongful termination charge and looking for a new job. That shows strength and resilience. If you ever need to talk more about it, I’m here for you.",0.005536963281329997,0.17821782178217824,0.8333333333333334,0.9833333333333333,3.26159405708313,I'm sorry to hear that. Would you like to talk more about it?,0.0034856504477720246,0.16,0.9230769230769231,0.9230769230769231,0.0
"I may not win the suit, but I would definitely file one.  In 2000, I had an employer fire me without cause.  I sued and won that time.  Not only did they have to pay me back wages for the 90 days that the investigation took place, which was no minor sum,",I am glad that you'd not roll over and accept ill treatment! Well done :),"I'm really sorry to hear that you're feeling this way. It sounds like you've been through some tough experiences with your employer, and it’s understandable to feel sad about it. Winning your previous suit must have felt like a significant victory, but facing this again can be really daunting. It's important to acknowledge the emotions that come with such situations. If you want to talk more about it, I'm here to listen.",0.003000012090121809,0.08602150537634409,0.8333333333333334,0.9861111111111112,3.043348789215088,I understand. Can you tell me more?,0.010534007609331637,0.18181818181818182,1.0,0.8571428571428571,0.0
"they were found to be guilty, so the judge granted me my wages based on the average of 80 hour weeks I had been working, all my vacation time, plus the overtime I would have received, holiday pay, and then to put a nice bow on that gift, he awarded me 5000 dollars in damages because the old company lied and said I had broken the law.",I am afraid I need to leave now but thank you for talking :) (can you press the quit button and take the survey?) Best wishes!,"It sounds like you've been through a really tough and unfair situation. It must have been incredibly stressful to deal with the accusations and the uncertainty surrounding your job. It's good to hear that the judge recognized your hard work and awarded you what you deserved, but I can imagine it doesn't completely erase the feelings of frustration and sadness from what happened. It's important to take care of yourself during this time. How are you feeling about everything now?",0.0039240544574399286,0.11009174311926605,0.8,0.9875,2.4383931159973145,I understand. Can you tell me more?,0.0026024858050265995,0.1875,1.0,0.8571428571428571,0.0
Thank you for your time.  Have a great holiday.,You too!,"You're welcome. I appreciate your kindness, but I can sense that you're feeling a bit down. If you want to talk about what's on your mind, I'm here for you. I hope the holiday brings you some comfort and joy, too.",0.0,0.0851063829787234,0.9024390243902439,0.975609756097561,2.0990447998046875,I understand. Can you tell me more?,0.0,0.22222222222222224,1.0,0.8571428571428571,0.0
I am dong good. You?,I am okay thanks but it is a worrying year. Have you been worrying about anything?,"I appreciate you sharing that you're doing good. If there's anything on your mind or if you're feeling a bit down, I'm here to listen. It's okay to not always be okay.",0.00825101291002796,0.11320754716981132,0.9375,0.96875,1.3611934185028076,I understand. Can you tell me more?,0.010859480700217564,0.17391304347826086,1.0,0.8571428571428571,0.0
I have been staying home since last March due to COVID; getting very depressed.,"Ah I hear you, I have been self isolating too. Do you have an online support network?","I'm really sorry to hear that you’ve been feeling this way. It’s completely understandable to feel overwhelmed after such a long time of isolation. It’s tough not being able to engage in the activities and social interactions that normally bring us joy. Remember that it’s okay to feel sad, and reaching out for support is a strong step. You’re not alone in this.",0.0038060718506189493,0.13953488372093023,0.8253968253968254,0.9682539682539683,2.419508934020996,I understand. Can you tell me more?,0.009413843821782234,0.16666666666666666,1.0,0.8571428571428571,0.0
What do you mean by support netwrok?,"Well, friends you can talk to during this difficult time? I have a lot of friends on facebook and similar that I can talk to.","A support network refers to a group of people who provide emotional, informational, or practical support to someone in need. This network can include friends, family, colleagues, or community members who are there to listen, offer advice, or help during difficult times. It’s important to have people around you who can understand what you're going through and provide comfort and assistance. It can really make a difference when you’re feeling sad or overwhelmed. If you're feeling down, reaching out to your support network can help lighten the burden.",0.00365611775223859,0.15384615384615385,0.7386363636363636,0.9659090909090909,2.845750570297241,I understand. Can you tell me more?,0.003002136524390099,0.125,1.0,0.8571428571428571,0.0
I have few friends and can talk to but not sure how would they help.,Sometimes it does just make it easier to know that other people are in the same situation as you :),"It sounds like you're feeling a bit lonely and unsure about your friendships right now. It's completely normal to feel this way, especially when you're going through a tough time. Sometimes, just having someone to listen can make a big difference, even if you’re not sure how they can help. Would you like to talk more about what's on your mind?",0.00422741345345173,0.09411764705882353,0.8524590163934426,0.9836065573770492,2.4110541343688965,I understand. Can you tell me more?,0.005156835566857781,0.07692307692307693,1.0,0.8571428571428571,0.0
You mean share experiences among the friends?,Yes .. or at least share coping mechanisms perhaps?,"It sounds like you're feeling a bit down about something related to your friendships. Sharing experiences can be a really comforting and uplifting way to connect with others. It's okay to feel sad sometimes, and reaching out to friends can help. If you want to talk more about what's on your mind, I'm here to listen.",0.0,0.029411764705882353,0.8214285714285714,0.9821428571428571,2.644169330596924,I understand. Can you tell me more?,0.0,0.0,1.0,0.8571428571428571,0.0
"Yes, I pay musical instruments but do to COVID could not play with the band",Could you perhaps set up Zoom meetings where you could play together online?,"I'm really sorry to hear that. It must be tough not being able to share that experience with your bandmates, especially when music can be such a great source of joy and connection. It’s understandable to feel sad about it. How have you been coping with the situation?",0.0038253628844009133,0.03174603174603175,0.9166666666666666,0.9791666666666666,2.0058817863464355,I understand. Can you tell me more?,0.014017732413740807,0.1,1.0,0.8571428571428571,0.0
Any idea how would it work? Would there be any delay between the sounds from different instruments?,No I don't think so :) I think that it is totally live so you could play just as you would if you were together in person.,"It sounds like you might be feeling a bit overwhelmed or confused about how things work, and that's completely understandable. When it comes to sound from different instruments, there can be a slight delay due to factors like distance and the speed of sound. Each instrument might produce sound waves at different times, especially in a live setting. If you're feeling sad about this topic, remember that it's okay to have questions and to seek clarity. I'm here to help you with any specific concerns you might have.",0.0033442188044387903,0.10084033613445377,0.7954545454545454,0.9772727272727273,2.6230554580688477,I understand. Can you tell me more?,0.0022560374287911196,0.11764705882352941,1.0,0.8571428571428571,0.0
Thanks for the idea. I will give it a try.,"I hope it goes well for you. It has been such an awful year, hasn't it?","I'm glad to hear that you're willing to give it a try. It sounds like you're in a tough spot right now, and taking steps, no matter how small, can make a difference. If you want to talk more about how you're feeling or what you're trying, I'm here to listen.",0.004273297457822545,0.1081081081081081,0.803921568627451,0.9803921568627451,2.1005208492279053,I understand. Can you tell me more?,0.009131698392329843,0.16666666666666666,1.0,0.8571428571428571,0.0
